,league,season,team,player,nation,pos,age,born,Playing Time-MP,Playing Time-Starts,Playing Time-Min,Playing Time-90s,Performance-Gls,Performance-Ast,Performance-G+A,Performance-G-PK,Performance-PK,Performance-PKatt,Performance-CrdY,Performance-CrdR,Expected-xG,Expected-npxG,Expected-xAG,Expected-npxG+xAG,Progression-PrgC,Progression-PrgP,Progression-PrgR,Per 90 Minutes-Gls,Per 90 Minutes-Ast,Per 90 Minutes-G+A,Per 90 Minutes-G-PK,Per 90 Minutes-G+A-PK,Per 90 Minutes-xG,Per 90 Minutes-xAG,Per 90 Minutes-xG+xAG,Per 90 Minutes-npxG,Per 90 Minutes-npxG+xAG,Playing Time_keeper-MP,Playing Time_keeper-Starts,Playing Time_keeper-Min,90s,Performance-GA,Performance-GA90,Performance-SoTA,Performance-Saves,Performance-Save%,Performance-W,Performance-D,Performance-L,Performance-CS,Performance-CS%,Penalty Kicks-PKatt,Penalty Kicks-PKA,Penalty Kicks-PKsv,Penalty Kicks-PKm,Penalty Kicks-Save%,90s_keeper_adv,Goals-GA,Goals-PKA,Goals-FK,Goals-CK,Goals-OG,Expected-PSxG,Expected-PSxG/SoT,Expected-PSxG+/-,Expected-/90,Launched-Cmp,Launched-Att,Launched-Cmp%,Passes-Att (GK),Passes-Thr,Passes-Launch%,Passes-AvgLen,Goal Kicks-Att,Goal Kicks-Launch%,Goal Kicks-AvgLen,Crosses-Opp,Crosses-Stp,Crosses-Stp%,Sweeper-#OPA,Sweeper-#OPA/90,Sweeper-AvgDist,90s_shooting,Standard-Gls,Standard-Sh,Standard-SoT,Standard-SoT%,Standard-Sh/90,Standard-SoT/90,Standard-G/Sh,Standard-G/SoT,Standard-Dist,Standard-FK,Standard-PK,Standard-PKatt,Expected_shooting-xG,Expected_shooting-npxG,Expected_shooting-npxG/Sh,Expected_shooting-G-xG,Expected_shooting-np:G-xG,90s_passing,Total-Cmp,Total-Att,Total-Cmp%,Total-TotDist,Total-PrgDist,Short-Cmp,Short-Att,Short-Cmp%,Medium-Cmp,Medium-Att,Medium-Cmp%,Long-Cmp,Long-Att,Long-Cmp%,Ast,xAG,Expected-xA,Expected-A-xAG,KP,1/3,PPA,CrsPA,PrgP,90s_passing_types,Att,Pass Types-Live,Pass Types-Dead,Pass Types-FK,Pass Types-TB,Pass Types-Sw,Pass Types-Crs,Pass Types-TI,Pass Types-CK,Corner Kicks-In,Corner Kicks-Out,Corner Kicks-Str,Outcomes-Cmp,Outcomes-Off,Outcomes-Blocks,90s_goal_shot_creation,SCA-SCA,SCA-SCA90,SCA Types-PassLive,SCA Types-PassDead,SCA Types-TO,SCA Types-Sh,SCA Types-Fld,SCA Types-Def,GCA-GCA,GCA-GCA90,GCA Types-PassLive,GCA Types-PassDead,GCA Types-TO,GCA Types-Sh,GCA Types-Fld,GCA Types-Def,90s_defense,Tackles-Tkl,Tackles-TklW,Tackles-Def 3rd,Tackles-Mid 3rd,Tackles-Att 3rd,Challenges-Tkl,Challenges-Att,Challenges-Tkl%,Challenges-Lost,Blocks-Blocks,Blocks-Sh,Blocks-Pass,Int,Tkl+Int,Clr,Err,90s_possession,Touches-Touches,Touches-Def Pen,Touches-Def 3rd,Touches-Mid 3rd,Touches-Att 3rd,Touches-Att Pen,Touches-Live,Take-Ons-Att,Take-Ons-Succ,Take-Ons-Succ%,Take-Ons-Tkld,Take-Ons-Tkld%,Carries-Carries,Carries-TotDist,Carries-PrgDist,Carries-PrgC,Carries-1/3,Carries-CPA,Carries-Mis,Carries-Dis,Receiving-Rec,Receiving-PrgR,Playing Time_playing_time-MP,Playing Time_playing_time-Min,Playing Time_playing_time-Mn/MP,Playing Time_playing_time-Min%,Playing Time_playing_time-90s,Starts-Starts,Starts-Mn/Start,Starts-Compl,Subs-Subs,Subs-Mn/Sub,Subs-unSub,Team Success-PPM,Team Success-onG,Team Success-onGA,Team Success-+/-,Team Success-+/-90,Team Success-On-Off,Team Success (xG)-onxG,Team Success (xG)-onxGA,Team Success (xG)-xG+/-,Team Success (xG)-xG+/-90,Team Success (xG)-On-Off,90s_misc,Performance_misc-CrdY,Performance_misc-CrdR,Performance_misc-2CrdY,Performance_misc-Fls,Performance_misc-Fld,Performance_misc-Off,Performance_misc-Crs,Performance_misc-Int,Performance_misc-TklW,Performance_misc-PKwon,Performance_misc-PKcon,Performance_misc-OG,Performance_misc-Recov,Aerial Duels-Won,Aerial Duels-Lost,Aerial Duels-Won%
10,GER-Bundesliga,2324,Dortmund,Mats Hummels,GER,DF,34,1988,25,20,1581,17.6,3,0,3,3,0,0,4,1,3.2,3.2,0.9,4.1,11,82,1,0.17,0.0,0.17,0.17,0.17,0.18,0.05,0.23,0.18,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.6,3,16,6,37.5,0.91,0.34,0.19,0.5,11.7,0,0,0,3.2,3.2,0.23,-0.2,-0.2,17.6,1262,1418,89.0,25463,8497,381,402,94.8,722,781,92.4,150,202,74.3,0,0.9,1.4,-0.9,9,86,6,0,82,17.6,1418,1366,50,44,3,16,3,3,0,0,0,0,1262,2,10,17.6,24,1.37,20,0,0,3,0,1,2,0.11,1,0,0,1,0,0,17.6,52,34,34,12,6,30,53,56.6,23,33,11,22,33,85,82,0,17.6,1649,167,698,888,76,20,1649,7,2,28.6,4,57.1,1095,5594,3224,11,13,1,7,6,1183,1,25,1581,63,51.7,17.6,20,75,13,5,18,4,1.88,34,24,10,0.57,-0.34,31.0,26.5,4.5,0.26,-0.17,17.6,4,1,0,12,9,0,3,33,34,0,2,0,99,38,24,61.3
11,ESP-La Liga,2324,Girona,Artem Dovbyk,UKR,FW,26,1997,36,32,2587,28.7,24,8,32,17,7,8,2,0,24.2,17.9,6.2,24.1,18,26,118,0.83,0.28,1.11,0.59,0.87,0.84,0.21,1.05,0.62,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,24,77,36,46.8,2.68,1.25,0.22,0.47,12.4,1,7,8,24.2,17.9,0.23,-0.2,-0.9,28.7,277,392,70.7,3272,471,186,235,79.1,62,89,69.7,5,6,83.3,8,6.2,3.7,1.8,27,9,10,0,26,28.7,392,359,28,0,2,2,1,0,0,0,0,0,277,5,16,28.7,57,1.98,41,0,6,8,2,0,13,0.45,9,0,1,3,0,0,28.7,4,3,2,1,1,0,2,0.0,2,8,1,7,0,4,17,0,28.7,606,19,36,230,341,185,598,25,17,68.0,8,32.0,351,1294,449,18,7,16,50,39,487,118,36,2587,72,75.6,28.7,32,78,10,4,26,0,2.19,67,36,31,1.08,0.21,56.5,38.9,17.6,0.61,0.73,28.7,2,0,0,27,13,33,1,0,3,0,0,0,24,39,40,49.4
12,ITA-Serie A,2324,Inter,Hakan Çalhanoğlu,TUR,MF,29,1994,32,32,2556,28.4,13,3,16,3,10,10,5,0,10.1,2.3,4.7,7.0,45,186,34,0.46,0.11,0.56,0.11,0.21,0.36,0.17,0.52,0.08,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.4,13,52,13,25.0,1.83,0.46,0.06,0.23,29.5,12,10,10,10.1,2.3,0.04,2.9,0.7,28.4,2045,2316,88.3,37372,11241,885,934,94.8,853,933,91.4,258,364,70.9,3,4.7,5.8,-1.7,52,194,39,12,186,28.4,2316,2097,210,92,4,35,153,4,113,52,47,0,2045,9,18,28.4,107,3.77,63,39,0,4,0,1,10,0.35,7,3,0,0,0,0,28.4,66,33,29,29,8,32,49,65.3,17,29,13,16,24,90,22,0,28.4,2591,81,632,1389,586,26,2581,15,7,46.7,7,46.7,1604,7646,3868,45,65,1,27,7,1878,34,32,2556,80,74.7,28.4,32,80,12,0,,3,2.47,59,19,40,1.41,-1.4,56.5,23.2,33.3,1.17,-0.26,28.4,5,0,0,43,23,0,153,24,33,0,0,0,166,26,18,59.1
13,ITA-Serie A,2324,Inter,Lautaro Martínez,ARG,FW,25,1997,33,31,2656,29.5,24,3,27,22,2,3,5,0,17.6,15.3,3.6,18.8,54,80,172,0.81,0.1,0.91,0.75,0.85,0.6,0.12,0.72,0.52,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.5,24,105,44,41.9,3.56,1.49,0.21,0.5,14.2,0,2,3,17.6,15.3,0.15,6.4,6.7,29.5,604,782,77.2,8821,2104,328,393,83.5,194,232,83.6,41,59,69.5,3,3.6,2.0,-0.6,36,45,21,2,80,29.5,782,734,42,4,12,3,15,1,0,0,0,0,604,6,28,29.5,102,3.46,71,0,4,16,7,4,16,0.54,7,0,1,3,2,3,29.5,22,16,4,13,5,4,19,21.1,15,30,1,29,20,42,10,0,29.5,1176,12,88,532,564,178,1173,68,19,27.9,39,57.4,735,3228,1486,54,29,28,68,45,878,172,33,2656,80,77.7,29.5,31,84,18,2,32,2,2.58,73,16,57,1.93,0.75,60.9,22.5,38.4,1.3,0.28,29.5,5,0,0,46,59,12,15,20,16,2,1,0,90,38,27,58.5
14,GER-Bundesliga,2324,Leverkusen,Florian Wirtz,GER,MF,20,2003,32,26,2372,26.4,11,11,22,10,1,1,3,0,8.9,8.2,7.5,15.7,138,224,306,0.42,0.42,0.83,0.38,0.8,0.34,0.29,0.62,0.31,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.4,11,70,33,47.1,2.66,1.25,0.14,0.3,18.1,1,1,1,8.9,8.2,0.12,2.1,1.8,26.4,1540,1855,83.0,20304,5621,1003,1124,89.2,395,462,85.5,62,98,63.3,11,7.5,9.7,3.5,73,95,82,7,224,26.4,1855,1764,77,13,23,7,36,35,22,6,1,0,1540,14,54,26.4,166,6.3,128,8,15,4,9,2,24,0.91,18,2,4,0,0,0,26.4,27,18,7,14,6,9,29,31.0,20,36,2,34,9,36,3,0,26.4,2252,7,146,906,1229,170,2251,162,79,48.8,74,45.7,1384,7896,4152,138,108,45,83,79,1815,306,32,2372,74,77.5,26.4,26,85,9,6,29,0,2.63,69,19,50,1.9,-0.07,55.3,22.7,32.7,1.24,-0.21,26.4,3,0,0,23,27,6,36,9,18,0,0,0,143,9,15,37.5
15,GER-Bundesliga,2324,Leverkusen,Granit Xhaka,SUI,MF,30,1992,33,32,2821,31.3,3,0,3,3,0,0,5,0,1.8,1.8,2.7,4.5,60,392,53,0.1,0.0,0.1,0.1,0.1,0.06,0.09,0.15,0.06,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.3,3,45,14,31.1,1.44,0.45,0.07,0.21,25.5,0,0,0,1.8,1.8,0.04,1.2,1.2,31.3,3020,3292,91.7,47359,13206,1681,1777,94.6,1063,1138,93.4,208,258,80.6,0,2.7,5.9,-2.7,41,370,54,0,392,31.3,3292,3221,65,39,12,17,10,17,0,0,0,0,3020,6,27,31.3,121,3.86,110,1,2,6,2,0,11,0.35,11,0,0,0,0,0,31.3,29,21,11,14,4,9,30,30.0,21,29,8,21,19,48,42,0,31.3,3558,94,485,2291,797,17,3558,28,16,57.1,9,32.1,2164,9461,4933,60,67,4,31,30,2955,53,33,2821,85,92.2,31.3,32,88,24,1,21,0,2.7,78,21,57,1.82,-1.19,65.2,26.9,38.3,1.22,-0.84,31.3,5,0,0,30,43,0,10,19,21,0,0,0,226,26,22,54.2
16,GER-Bundesliga,2324,Leverkusen,Álex Grimaldo,ESP,DF,27,1995,33,31,2784,30.9,10,13,23,10,0,0,1,0,5.7,5.7,9.1,14.8,77,162,261,0.32,0.42,0.74,0.32,0.74,0.18,0.3,0.48,0.18,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.9,10,71,23,32.4,2.3,0.74,0.14,0.43,21.7,18,0,0,5.7,5.7,0.08,4.3,4.3,30.9,1762,2148,82.0,24881,6698,1116,1208,92.4,500,606,82.5,88,200,44.0,13,9.1,11.1,3.9,78,79,71,22,162,30.9,2148,1801,338,35,5,11,202,192,111,60,17,1,1762,9,49,30.9,131,4.23,88,29,5,5,3,1,21,0.68,13,3,1,2,2,0,30.9,45,24,26,10,9,30,55,54.5,25,32,7,25,22,67,41,0,30.9,2465,60,429,940,1112,106,2465,48,20,41.7,23,47.9,1346,6006,3113,77,56,15,50,18,1681,261,33,2784,84,91.0,30.9,31,89,26,2,13,0,2.64,76,23,53,1.71,-2.2,65.3,26.1,39.2,1.27,-0.22,30.9,1,0,0,14,26,3,202,22,24,1,0,0,168,12,19,38.7
17,ENG-Premier League,2324,Manchester City,Erling Haaland,NOR,FW,23,2000,31,29,2552,28.4,27,5,32,20,7,8,1,0,29.2,22.9,4.3,27.2,35,26,126,0.95,0.18,1.13,0.71,0.88,1.03,0.15,1.18,0.81,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.4,27,113,50,44.2,3.99,1.76,0.18,0.4,11.9,1,7,8,29.2,22.9,0.2,-2.2,-2.9,28.4,295,388,76.0,3234,567,197,242,81.4,56,70,80.0,5,8,62.5,5,4.3,2.2,0.7,29,16,11,0,26,28.4,388,375,12,1,2,0,5,1,0,0,0,0,295,1,17,28.4,59,2.08,39,0,3,10,6,1,11,0.39,5,0,1,3,2,0,28.4,6,3,0,3,3,2,3,66.7,1,11,1,10,2,8,16,0,28.4,636,15,36,206,398,183,628,30,12,40.0,16,53.3,357,1628,728,35,13,22,41,19,489,126,31,2552,82,74.6,28.4,29,86,20,2,25,1,2.32,65,25,40,1.41,-0.87,59.5,26.2,33.4,1.18,-0.02,28.4,1,0,0,18,31,6,5,2,3,2,0,0,47,39,42,48.1
18,ENG-Premier League,2324,Manchester City,Phil Foden,ENG,"FW,MF",23,2000,35,33,2857,31.7,19,8,27,19,0,0,2,0,10.3,10.3,8.4,18.7,93,168,269,0.6,0.25,0.85,0.6,0.85,0.33,0.26,0.59,0.33,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.7,19,105,48,45.7,3.31,1.51,0.18,0.4,18.5,4,0,0,10.3,10.3,0.1,8.7,8.7,31.7,1511,1767,85.5,20347,3769,990,1053,94.0,388,449,86.4,68,135,50.4,8,8.4,6.9,-0.4,73,71,57,5,168,31.7,1767,1684,79,19,15,6,89,4,50,26,14,0,1511,4,49,31.7,144,4.54,111,9,9,6,8,1,21,0.66,16,1,1,0,3,0,31.7,31,20,11,10,10,13,31,41.9,18,30,0,30,13,44,18,1,31.7,2146,22,174,785,1211,190,2146,102,47,46.1,46,45.1,1435,6921,3434,93,79,56,62,49,1753,269,35,2857,82,83.5,31.7,33,85,19,2,25,2,2.34,75,27,48,1.51,-0.73,65.4,28.8,36.6,1.15,-0.18,31.7,2,0,0,14,60,5,89,13,20,0,1,0,127,6,17,26.1
19,ENG-Premier League,2324,Manchester City,Rodri,ESP,MF,27,1996,34,34,2931,32.6,8,9,17,8,0,0,8,1,4.1,4.1,3.9,8.0,76,376,55,0.25,0.28,0.52,0.25,0.52,0.12,0.12,0.24,0.12,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.6,8,62,22,35.5,1.9,0.68,0.13,0.36,20.6,0,0,0,4.1,4.1,0.07,3.9,3.9,32.6,3365,3656,92.0,57256,15766,1676,1774,94.5,1273,1360,93.6,340,401,84.8,9,3.9,6.1,5.1,49,378,61,0,376,32.6,3656,3572,79,69,15,36,12,6,3,0,0,0,3365,5,22,32.6,157,4.82,130,2,8,5,6,6,23,0.71,17,0,3,1,1,1,32.6,70,43,25,33,12,29,60,48.3,31,32,8,24,26,96,41,4,32.6,3988,114,664,2337,1013,80,3988,64,42,65.6,14,21.9,2513,11575,6408,76,88,12,23,32,3242,55,34,2931,86,85.7,32.6,34,86,27,0,,1,2.59,87,26,61,1.87,1.69,72.0,28.7,43.3,1.33,1.02,32.6,8,1,0,41,35,6,12,26,43,1,0,0,235,54,22,71.1
20,ENG-Premier League,2324,Manchester City,Rúben Dias,POR,DF,26,1997,30,28,2559,28.4,0,0,0,0,0,0,0,0,1.4,1.4,0.3,1.7,34,173,16,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.4,0,20,8,40.0,0.7,0.28,0.0,0.0,15.2,0,0,0,1.4,1.4,0.07,-1.4,-1.4,28.4,2469,2635,93.7,42764,13568,1039,1076,96.6,1256,1306,96.2,146,204,71.6,0,0.3,1.9,-0.3,7,220,12,3,173,28.4,2635,2567,65,46,2,7,13,11,0,0,0,0,2469,3,8,28.4,35,1.23,28,0,0,5,0,2,4,0.14,2,0,0,1,0,1,28.4,39,20,14,21,4,19,26,73.1,7,32,17,15,30,69,77,0,28.4,2877,231,1002,1600,282,34,2877,1,0,0.0,1,100.0,1996,10862,6693,34,70,1,10,7,2301,16,30,2559,85,74.8,28.4,28,90,28,2,20,5,2.3,65,28,37,1.3,-1.31,62.2,25.4,36.8,1.3,0.45,28.4,0,0,0,23,15,0,13,30,20,0,1,1,108,47,42,52.8
21,FRA-Ligue 1,2324,Paris S-G,Kylian Mbappé,FRA,FW,24,1998,29,24,2158,24.0,27,7,34,21,6,8,4,0,21.0,14.5,5.7,20.2,114,122,286,1.13,0.29,1.42,0.88,1.17,0.87,0.24,1.11,0.6,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,27,112,50,44.6,4.67,2.09,0.19,0.42,18.3,2,6,8,21.0,14.5,0.13,6.0,6.5,24.0,801,965,83.0,12061,2391,472,536,88.1,235,288,81.6,55,67,82.1,7,5.7,5.2,1.3,40,73,44,1,122,24.0,965,936,24,5,12,10,23,6,7,0,0,0,801,5,19,24.0,97,4.04,68,0,20,3,6,0,19,0.79,11,0,4,1,3,0,24.0,4,1,1,1,2,4,9,44.4,5,4,0,4,2,6,2,0,24.0,1264,1,31,441,801,207,1256,133,61,45.9,62,46.6,1148,6749,3213,114,69,66,56,35,1130,286,29,2158,74,70.5,24.0,24,83,19,5,31,2,2.17,61,25,36,1.5,0.3,50.2,30.2,20.0,0.84,-0.04,24.0,4,0,0,19,38,20,23,2,1,2,0,0,47,0,2,0.0
22,FRA-Ligue 1,2324,Paris S-G,Vitinha,POR,MF,23,2000,28,23,2126,23.6,7,4,11,7,0,0,0,0,3.1,3.1,3.1,6.3,41,182,122,0.3,0.17,0.47,0.3,0.47,0.13,0.13,0.27,0.13,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.6,7,45,19,42.2,1.9,0.8,0.16,0.37,21.5,1,0,0,3.1,3.1,0.07,3.9,3.9,23.6,1659,1850,89.7,27065,6716,833,895,93.1,640,691,92.6,124,158,78.5,4,3.1,4.0,0.9,37,155,32,2,182,23.6,1850,1753,92,42,8,11,38,8,19,9,3,0,1659,5,25,23.6,79,3.34,68,7,2,0,2,0,14,0.59,12,1,0,0,1,0,23.6,39,24,12,16,11,16,48,33.3,32,29,11,18,23,62,30,2,23.6,2094,64,334,1093,685,50,2094,52,32,61.5,19,36.5,1705,8354,3462,41,68,11,31,23,1622,122,28,2126,76,69.5,23.6,23,86,16,5,31,3,2.32,57,22,35,1.48,0.23,48.3,28.6,19.7,0.83,-0.05,23.6,0,0,0,17,16,1,38,23,24,0,0,0,154,4,10,28.6
23,GER-Bundesliga,2324,RB Leipzig,Dani Olmo,ESP,MF,25,1998,21,17,1449,16.1,4,5,9,4,0,0,0,0,3.3,3.3,5.4,8.8,60,68,111,0.25,0.31,0.56,0.25,0.56,0.21,0.34,0.55,0.21,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1,4,45,13,28.9,2.8,0.81,0.09,0.31,18.7,3,0,0,3.3,3.3,0.07,0.7,0.7,16.1,511,657,77.8,8589,2309,256,306,83.7,187,226,82.7,52,74,70.3,5,5.4,3.7,-0.4,32,60,21,7,68,16.1,657,639,13,9,9,9,21,4,0,0,0,0,511,5,21,16.1,61,3.79,44,0,3,9,3,2,8,0.5,8,0,0,0,0,0,16.1,26,18,14,8,4,10,22,45.5,12,7,0,7,13,39,12,1,16.1,854,18,116,419,329,59,854,72,31,43.1,38,52.8,544,3571,1925,60,49,18,28,26,651,111,21,1449,69,47.4,16.1,17,82,7,4,16,0,2.0,41,20,21,1.3,0.35,27.3,18.0,9.3,0.58,-0.32,16.1,0,0,0,15,17,1,21,13,18,0,0,0,75,11,19,36.7
24,ESP-La Liga,2324,Real Madrid,Antonio Rüdiger,GER,DF,30,1993,33,30,2709,30.1,1,0,1,1,0,0,7,0,1.5,1.5,1.2,2.6,17,88,1,0.03,0.0,0.03,0.03,0.03,0.05,0.04,0.09,0.05,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.1,1,19,2,10.5,0.63,0.07,0.05,0.5,16.0,0,0,0,1.5,1.5,0.08,-0.5,-0.5,30.1,1630,1815,89.8,30058,11111,625,654,95.6,860,908,94.7,130,219,59.4,0,1.2,1.0,-1.2,5,90,11,2,88,30.1,1815,1761,50,30,3,10,4,9,0,0,0,0,1630,4,9,30.1,21,0.7,16,0,0,5,0,0,5,0.17,4,0,0,1,0,0,30.1,26,15,18,4,4,16,20,80.0,4,27,20,7,11,37,89,0,30.1,2022,275,1000,964,65,25,2022,3,1,33.3,2,66.7,1337,6743,4149,17,10,1,4,2,1525,1,33,2709,82,79.2,30.1,30,88,28,3,25,1,2.55,65,23,42,1.4,-1.01,54.3,28.0,26.3,0.87,-0.03,30.1,7,0,0,26,5,1,4,11,15,0,0,0,124,49,23,68.1
25,ESP-La Liga,2324,Real Madrid,Dani Carvajal,ESP,DF,31,1992,28,25,2171,24.1,4,3,7,4,0,0,5,1,1.7,1.7,2.7,4.4,30,82,168,0.17,0.12,0.29,0.17,0.29,0.07,0.11,0.18,0.07,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.1,4,18,10,55.6,0.75,0.41,0.22,0.4,14.3,0,0,0,1.7,1.7,0.1,2.3,2.3,24.1,1265,1475,85.8,19955,4535,679,744,91.3,486,552,88.0,76,111,68.5,3,2.7,3.1,0.3,21,52,26,5,82,24.1,1475,1284,190,37,3,3,49,153,0,0,0,0,1265,1,34,24.1,44,1.82,41,0,1,0,2,0,7,0.29,6,0,0,0,1,0,24.1,47,32,28,15,4,23,42,54.8,19,28,9,19,22,69,54,4,24.1,1697,101,465,726,527,59,1697,22,9,40.9,11,50.0,939,3864,1903,30,37,9,22,18,1126,168,28,2171,78,63.5,24.1,25,86,18,3,8,5,2.57,55,13,42,1.74,0.37,44.7,21.7,23.0,0.95,0.21,24.1,5,1,1,23,19,2,49,22,32,0,0,0,120,21,19,52.5
26,ESP-La Liga,2324,Real Madrid,Federico Valverde,URU,MF,25,1998,37,33,2904,32.3,2,7,9,2,0,0,2,0,3.5,3.5,5.8,9.3,104,231,102,0.06,0.22,0.28,0.06,0.28,0.11,0.18,0.29,0.11,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.3,2,56,18,32.1,1.74,0.56,0.04,0.11,23.0,1,0,0,3.5,3.5,0.06,-1.5,-1.5,32.3,1901,2117,89.8,29049,7780,1109,1169,94.9,612,675,90.7,126,185,68.1,7,5.8,3.4,1.2,49,229,41,4,231,32.3,2117,2077,31,23,14,33,30,5,0,0,0,0,1901,9,18,32.3,119,3.69,110,0,3,3,1,2,14,0.43,12,0,0,2,0,0,32.3,47,34,22,13,12,24,42,57.1,18,39,2,37,43,90,40,0,32.3,2448,77,384,1382,708,69,2448,44,22,50.0,21,47.7,1610,9227,5027,104,102,15,28,12,1925,102,37,2904,78,84.9,32.3,33,86,22,4,19,1,2.49,76,22,54,1.67,0.45,60.1,30.3,29.8,0.92,0.3,32.3,2,0,0,19,15,0,30,43,34,0,0,0,160,21,10,67.7
27,ESP-La Liga,2324,Real Madrid,Jude Bellingham,ENG,MF,20,2003,28,27,2315,25.7,19,6,25,18,1,1,5,1,11.1,10.3,5.3,15.6,85,196,177,0.74,0.23,0.97,0.7,0.93,0.43,0.21,0.64,0.4,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.7,19,62,34,54.8,2.41,1.32,0.29,0.53,14.8,0,1,1,11.1,10.3,0.17,7.9,7.7,25.7,1363,1543,88.3,19609,4025,856,930,92.0,387,428,90.4,76,90,84.4,6,5.3,4.3,0.7,48,137,45,3,196,25.7,1543,1490,43,18,18,14,21,12,1,1,0,0,1363,10,25,25.7,99,3.85,82,0,8,4,5,0,13,0.51,10,0,1,2,0,0,25.7,42,34,14,18,10,12,36,33.3,24,55,5,50,21,63,17,0,25.7,1897,21,202,978,746,135,1896,97,50,51.5,35,36.1,1235,6812,3434,85,73,26,53,40,1554,177,28,2315,83,67.7,25.7,27,85,17,1,25,4,2.46,57,16,41,1.59,-0.04,46.7,23.4,23.3,0.91,0.09,25.7,5,1,0,32,72,4,21,21,34,0,0,0,118,24,25,49.0
28,ESP-La Liga,2324,Real Madrid,Toni Kroos,GER,MF,33,1990,33,24,2124,23.6,1,8,9,1,0,0,3,0,1.6,1.6,4.9,6.5,32,290,29,0.04,0.34,0.38,0.04,0.38,0.07,0.21,0.28,0.07,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.6,1,35,13,37.1,1.48,0.55,0.03,0.08,25.2,10,0,0,1.6,1.6,0.05,-0.6,-0.6,23.6,2291,2505,91.5,42164,15443,1087,1121,97.0,828,881,94.0,333,438,76.0,8,4.9,5.9,3.1,62,327,23,5,290,23.6,2505,2260,239,137,6,53,118,13,89,32,34,0,2291,6,13,23.6,100,4.24,61,34,0,4,1,0,11,0.47,6,5,0,0,0,0,23.6,53,34,19,25,9,24,59,40.7,35,22,4,18,17,70,11,1,23.6,2656,58,546,1641,492,13,2656,8,5,62.5,3,37.5,1758,8020,4189,32,51,1,8,6,2128,29,33,2124,64,62.1,23.6,24,80,10,9,22,5,2.48,53,19,34,1.44,-0.43,42.1,23.9,18.3,0.77,-0.27,23.6,3,0,0,17,38,3,118,17,34,0,0,0,144,8,4,66.7
29,ESP-La Liga,2324,Real Madrid,Vinicius Júnior,BRA,FW,23,2000,26,22,1864,20.7,15,5,20,14,1,1,7,0,13.1,12.3,4.2,16.6,137,57,277,0.72,0.24,0.97,0.68,0.92,0.63,0.21,0.84,0.59,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.7,15,77,38,49.4,3.72,1.83,0.18,0.37,14.6,0,1,1,13.1,12.3,0.16,1.9,1.7,20.7,499,690,72.3,7273,1443,312,370,84.3,115,171,67.3,43,76,56.6,5,4.2,4.4,0.8,30,37,20,2,57,20.7,690,663,22,4,10,22,56,7,5,0,0,0,499,5,34,20.7,79,3.81,43,1,19,8,6,2,10,0.48,5,0,1,3,0,1,20.7,18,13,5,5,8,3,12,25.0,9,13,0,13,1,19,3,2,20.7,1058,2,51,290,733,193,1057,176,65,36.9,95,54.0,797,6384,3440,137,74,88,71,40,888,277,26,1864,72,54.5,20.7,22,80,7,4,26,3,2.62,48,12,36,1.74,0.29,39.3,19.3,20.0,0.96,0.19,20.7,7,0,0,24,54,10,56,1,13,0,0,0,44,1,7,12.5
